Number,Algorithm,Size,Density,Time
327,DFS,80,0,8,2
328,BFS,80,0,8,2
329,DFS,80,0,8,2
330,BFS,80,0,8,2
331,DFS,80,0,8,2
332,BFS,80,0,8,2
333,DFS,80,0,8,2
334,BFS,80,0,8,2
335,DFS,80,0,8,2
336,BFS,80,0,8,2
337,DFS,80,0,8,2
338,BFS,80,0,8,2
339,DFS,80,0,8,2
340,BFS,80,0,8,2
341,DFS,80,0,8,2
342,BFS,80,0,8,2
343,DFS,80,0,8,2
344,BFS,80,0,8,2
345,DFS,80,0,8,2
346,BFS,80,0,8,2
347,DFS,80,0,8,2
348,BFS,80,0,8,2
349,DFS,80,0,8,2
350,BFS,80,0,8,2
351,DFS,80,0,8,2
352,BFS,80,0,8,2
353,DFS,80,0,8,2
354,BFS,80,0,8,2
355,DFS,80,0,8,2
356,BFS,80,0,8,2
357,DFS,80,0,8,2
358,BFS,80,0,8,2
359,DFS,80,0,8,2
360,BFS,80,1,2
361,DFS,80,1,2
362,BFS,80,1,2
363,DFS,80,1,2
364,BFS,80,1,2
365,DFS,80,1,2
366,BFS,80,1,2
367,DFS,80,1,2
368,BFS,80,1,2
369,DFS,80,1,2
370,BFS,80,1,2
371,DFS,80,1,2
372,BFS,80,1,2
373,DFS,80,1,2
374,BFS,80,1,2
375,DFS,80,1,2
376,BFS,80,1,2
377,DFS,80,1,2
378,BFS,80,1,2
379,DFS,80,1,2
380,BFS,80,1,2
381,DFS,80,1,2
382,BFS,80,1,2
383,DFS,80,1,2
384,BFS,80,1,2
385,DFS,80,1,2
386,BFS,80,1,2
387,DFS,80,1,2
388,BFS,80,1,2
389,DFS,80,1,2
390,BFS,80,1,2
391,DFS,80,1,2
392,BFS,80,1,2
393,DFS,80,1,2
394,BFS,80,1,2
395,DFS,80,1,2
396,BFS,80,1,2
397,DFS,80,1,2
398,BFS,80,1,2
399,DFS,80,1,2
400,BFS,100,0,2,4
401,DFS,100,0,2,4
402,BFS,100,0,2,4
403,DFS,100,0,2,3
404,BFS,100,0,2,4
405,DFS,100,0,2,3
406,BFS,100,0,2,4
407,DFS,100,0,2,3
408,BFS,100,0,2,4
409,DFS,100,0,2,3
410,BFS,100,0,2,4
411,DFS,100,0,2,3
412,BFS,100,0,2,4
413,DFS,100,0,2,3
414,BFS,100,0,2,4
415,DFS,100,0,2,3
416,BFS,100,0,2,4
417,DFS,100,0,2,3
418,BFS,100,0,2,4
419,DFS,100,0,2,3
420,BFS,100,0,2,4
421,DFS,100,0,2,3
422,BFS,100,0,2,4
423,DFS,100,0,2,3
424,BFS,100,0,2,4
425,DFS,100,0,2,3
426,BFS,100,0,2,4
427,DFS,100,0,2,3
428,BFS,100,0,2,4
429,DFS,100,0,2,3
430,BFS,100,0,2,4
431,DFS,100,0,2,3
432,BFS,100,0,2,4
433,DFS,100,0,2,3
434,BFS,100,0,2,4
435,DFS,100,0,2,3
436,BFS,100,0,2,4
437,DFS,100,0,2,3
438,BFS,100,0,2,3
439,DFS,100,0,2,3
440,BFS,100,0,4,3
441,DFS,100,0,4,3
442,BFS,100,0,4,3
443,DFS,100,0,4,3
444,BFS,100,0,4,3
445,DFS,100,0,4,3
446,BFS,100,0,4,3
447,DFS,100,0,4,3
448,BFS,100,0,4,3
449,DFS,100,0,4,3
450,BFS,100,0,4,3
451,DFS,100,0,4,3
452,BFS,100,0,4,3
453,DFS,100,0,4,3
454,BFS,100,0,4,3
455,DFS,100,0,4,3
456,BFS,100,0,4,3
457,DFS,100,0,4,3
458,BFS,100,0,4,3
459,DFS,100,0,4,3
460,BFS,100,0,4,3
461,DFS,100,0,4,3
462,BFS,100,0,4,3
463,DFS,100,0,4,3
464,BFS,100,0,4,3
465,DFS,100,0,4,3
466,BFS,100,0,4,3
467,DFS,100,0,4,3
468,BFS,100,0,4,3
469,DFS,100,0,4,3
470,BFS,100,0,4,3
471,DFS,100,0,4,3
472,BFS,100,0,4,3
473,DFS,100,0,4,3
474,BFS,100,0,4,3
475,DFS,100,0,4,3
476,BFS,100,0,4,3
477,DFS,100,0,4,3
478,BFS,100,0,4,3
479,DFS,100,0,4,3
480,BFS,100,0,6,3
481,DFS,100,0,6,3
482,BFS,100,0,6,3
483,DFS,100,0,6,3
484,BFS,100,0,6,3
485,DFS,100,0,6,3
486,BFS,100,0,6,3
487,DFS,100,0,6,3
488,BFS,100,0,6,3
489,DFS,100,0,6,3
490,BFS,100,0,6,3
491,DFS,100,0,6,3
492,BFS,100,0,6,3
493,DFS,100,0,6,3
494,BFS,100,0,6,3
495,DFS,100,0,6,3
496,BFS,100,0,6,3
497,DFS,100,0,6,3
498,BFS,100,0,6,3
499,DFS,100,0,6,3
500,BFS,100,0,6,4
501,DFS,100,0,6,3
502,BFS,100,0,6,3
503,DFS,100,0,6,3
504,BFS,100,0,6,3
505,DFS,100,0,6,3
506,BFS,100,0,6,3
507,DFS,100,0,6,3
508,BFS,100,0,6,3
509,DFS,100,0,6,3
510,BFS,100,0,6,3
511,DFS,100,0,6,3
512,BFS,100,0,6,3
513,DFS,100,0,6,3
514,BFS,100,0,6,3
515,DFS,100,0,6,3
516,BFS,100,0,6,3
517,DFS,100,0,6,3
518,BFS,100,0,6,3
519,DFS,100,0,6,3
520,BFS,100,0,8,3
521,DFS,100,0,8,3
522,BFS,100,0,8,3
523,DFS,100,0,8,3
524,BFS,100,0,8,3
525,DFS,100,0,8,3
526,BFS,100,0,8,3
527,DFS,100,0,8,3
528,BFS,100,0,8,3
529,DFS,100,0,8,3
530,BFS,100,0,8,3
531,DFS,100,0,8,3
532,BFS,100,0,8,3
533,DFS,100,0,8,3
534,BFS,100,0,8,3
535,DFS,100,0,8,3
536,BFS,100,0,8,3
537,DFS,100,0,8,3
538,BFS,100,0,8,3
539,DFS,100,0,8,3
540,BFS,100,0,8,3
541,DFS,100,0,8,3
542,BFS,100,0,8,3
543,DFS,100,0,8,3
544,BFS,100,0,8,3
545,DFS,100,0,8,3
546,BFS,100,0,8,3
547,DFS,100,0,8,3
548,BFS,100,0,8,3
549,DFS,100,0,8,4
550,BFS,100,0,8,3
551,DFS,100,0,8,3
552,BFS,100,0,8,3
553,DFS,100,0,8,3
554,BFS,100,0,8,3
555,DFS,100,0,8,3
556,BFS,100,0,8,3
557,DFS,100,0,8,3
558,BFS,100,0,8,3
559,DFS,100,0,8,3
560,BFS,100,1,3
561,DFS,100,1,3
562,BFS,100,1,3
563,DFS,100,1,3
564,BFS,100,1,3
565,DFS,100,1,3
566,BFS,100,1,4
567,DFS,100,1,3
568,BFS,100,1,3
569,DFS,100,1,3
570,BFS,100,1,3
571,DFS,100,1,3
572,BFS,100,1,3
573,DFS,100,1,3
574,BFS,100,1,3
575,DFS,100,1,3
576,BFS,100,1,3
577,DFS,100,1,3
578,BFS,100,1,3
579,DFS,100,1,3
580,BFS,100,1,3
581,DFS,100,1,3
582,BFS,100,1,3
583,DFS,100,1,3
584,BFS,100,1,3
585,DFS,100,1,3
586,BFS,100,1,3
587,DFS,100,1,3
588,BFS,100,1,3
589,DFS,100,1,3
590,BFS,100,1,3
591,DFS,100,1,3
592,BFS,100,1,3
593,DFS,100,1,3
594,BFS,100,1,3
595,DFS,100,1,3
596,BFS,100,1,3
597,DFS,100,1,3
598,BFS,100,1,3
599,DFS,100,1,3
600,BFS,150,0,2,12
601,DFS,150,0,2,12
602,BFS,150,0,2,12
603,DFS,150,0,2,12
604,BFS,150,0,2,12
605,DFS,150,0,2,12
606,BFS,150,0,2,12
607,DFS,150,0,2,12
608,BFS,150,0,2,12
609,DFS,150,0,2,12
610,BFS,150,0,2,12
611,DFS,150,0,2,12
612,BFS,150,0,2,12
613,DFS,150,0,2,12
614,BFS,150,0,2,12
615,DFS,150,0,2,12
616,BFS,150,0,2,12
617,DFS,150,0,2,12
618,BFS,150,0,2,13
619,DFS,150,0,2,12
620,BFS,150,0,2,12
621,DFS,150,0,2,12
622,BFS,150,0,2,12
623,DFS,150,0,2,12
624,BFS,150,0,2,12
625,DFS,150,0,2,12
626,BFS,150,0,2,12
627,DFS,150,0,2,12
628,BFS,150,0,2,12
629,DFS,150,0,2,12
630,BFS,150,0,2,12
631,DFS,150,0,2,12
632,BFS,150,0,2,12
633,DFS,150,0,2,12
634,BFS,150,0,2,12
635,DFS,150,0,2,12
636,BFS,150,0,2,13
637,DFS,150,0,2,12
638,BFS,150,0,2,12
639,DFS,150,0,2,12
640,BFS,150,0,4,12
641,DFS,150,0,4,12
642,BFS,150,0,4,12
643,DFS,150,0,4,12
644,BFS,150,0,4,12
645,DFS,150,0,4,12
646,BFS,150,0,4,12
647,DFS,150,0,4,12
648,BFS,150,0,4,12
649,DFS,150,0,4,12
650,BFS,150,0,4,12
651,DFS,150,0,4,12
652,BFS,150,0,4,12
653,DFS,150,0,4,12
654,BFS,150,0,4,13
655,DFS,150,0,4,12
656,BFS,150,0,4,12
657,DFS,150,0,4,12
658,BFS,150,0,4,12
659,DFS,150,0,4,12
660,BFS,150,0,4,12
661,DFS,150,0,4,12
662,BFS,150,0,4,12
663,DFS,150,0,4,12
664,BFS,150,0,4,12
665,DFS,150,0,4,12
666,BFS,150,0,4,12
667,DFS,150,0,4,12
668,BFS,150,0,4,12
669,DFS,150,0,4,12
670,BFS,150,0,4,12
671,DFS,150,0,4,12
672,BFS,150,0,4,12
673,DFS,150,0,4,12
674,BFS,150,0,4,12
675,DFS,150,0,4,12
676,BFS,150,0,4,12
677,DFS,150,0,4,12
678,BFS,150,0,4,13
679,DFS,150,0,4,12
680,BFS,150,0,6,12
681,DFS,150,0,6,12
682,BFS,150,0,6,12
683,DFS,150,0,6,12
684,BFS,150,0,6,12
685,DFS,150,0,6,12
686,BFS,150,0,6,12
687,DFS,150,0,6,12
688,BFS,150,0,6,12
689,DFS,150,0,6,12
690,BFS,150,0,6,12
691,DFS,150,0,6,12
692,BFS,150,0,6,12
693,DFS,150,0,6,12
694,BFS,150,0,6,12
695,DFS,150,0,6,12
696,BFS,150,0,6,13
697,DFS,150,0,6,12
698,BFS,150,0,6,12
699,DFS,150,0,6,12
700,BFS,150,0,6,12
701,DFS,150,0,6,12
702,BFS,150,0,6,12
703,DFS,150,0,6,12
704,BFS,150,0,6,12
705,DFS,150,0,6,12
706,BFS,150,0,6,12
707,DFS,150,0,6,12
708,BFS,150,0,6,12
709,DFS,150,0,6,12
710,BFS,150,0,6,12
711,DFS,150,0,6,12
712,BFS,150,0,6,12
713,DFS,150,0,6,12
714,BFS,150,0,6,12
715,DFS,150,0,6,12
716,BFS,150,0,6,12
717,DFS,150,0,6,12
718,BFS,150,0,6,12
719,DFS,150,0,6,12
720,BFS,150,0,8,12
721,DFS,150,0,8,12
722,BFS,150,0,8,12
723,DFS,150,0,8,12
724,BFS,150,0,8,12
725,DFS,150,0,8,12
726,BFS,150,0,8,12
727,DFS,150,0,8,12
728,BFS,150,0,8,12
729,DFS,150,0,8,12
730,BFS,150,0,8,12
731,DFS,150,0,8,12
